"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Regresion Damm - Bar Manager","Caso7- Cambio de establecimiento predeterminado","0","1","0","0","0"
"","Regresion Damm - Settings","Caso4- Cambio de idioma","0","1","0","0","0"
"","Regresion Damm - Bar Tools","Caso8- Flag Consumos (USER PROMO)","0","1","0","0","0"
"","Regresion Damm - Settings","Caso3- Cambio contraseña","0","1","0","0","0"
"","Regresion Damm - Login","Caso1- Alta pincode no válido","0","1","0","0","0"
"","Regresion Damm - Bar Manager","Caso5- Acceso a Bar Manager","0","1","0","0","0"
"","Regresion Damm - Login","Caso2- Log in - user activo","0","1","0","0","0"
"","Regresion Damm - Bar Tools","Caso10- Carta Digital (USER PROMO)","0","1","0","0","0"
"","Regresion Damm - Bar Manager","Caso6- Cambio de establecimiento","0","1","0","0","0"
"","Regresion Damm - Bar Tools","Caso9- Flag Promociones (USER PROMO)","0","1","0","0","0"
